"genes"	"custom_sample1"	"custom_sample2"	"custom_sample3"	"custom_sample4"	"custom_sample5"	"custom_sample6"	"custom_sample7"	"custom_sample8"
"CROT"	0	2.54150848869077	0	8.14197914188743	15.517764528205	4.33141489907749	0	0
"ABCB4"	3.81709560830799	0	1.46086337780122	0	0	0	13.6395837491902	0
"KMT2E"	410.996262926394	60.5836301717655	112.736016320389	200.130091804386	197.807181226808	210.396777429988	130.789027312702	277.44992125951
"RHBDD2"	24.6281399135533	93.699481085557	34.9360939943604	37.7470994765493	67.5775229378809	65.1474024676041	30.103041393442	97.26593951467
"SOX8"	0	0	0	0	0	0	0	0
"IBTK"	4.08974537125513	9.83896920336752	11.6833779156562	3.32752962859414	25.2686557070837	10.9663698526163	22.376972380228	17.2311245421887
"ZNF195"	11.7582858091581	7.80913954391798	0	28.3647028025441	14.772560133064	4.00598782909431	3.79769420988686	26.0961738198727
"MYCBP2"	54.7651199908956	33.4790644782385	27.1571486838195	45.8450575861768	49.7757807432961	42.0973883223224	30.1634303045039	78.0507553288261
"FBXL3"	46.4803256689329	11.2035269934546	23.1743126405527	19.3329721309048	31.8241925176797	59.8584921141031	13.6387484612662	30.9481638247777
"ITGAL"	2.12513212241143	30.7146802465968	26.6259831429337	108.382403066836	12.6890271074121	62.452849492269	17.6108668852466	37.2439109072393
"PDK2"	17.4510701426824	5.72412767355151	7.88745288792736	8.03993425946248	2.17385375496156	6.72887674946884	5.8695654269233	6.82387460009471
"ITGA3"	0	1.41337474697661	0	0	0	5.99852937312106	0	0
"ZFX"	16.6480372255911	6.1317833527247	42.8147175370065	27.5304262518192	7.59110901910526	43.9766758651551	16.1294048795957	20.1675978536506
"LAMP2"	23.410807703513	216.984754886998	79.8436642573695	18.3365887031417	14.2237873661287	15.2934590857156	59.9933499875509	43.1551342389585
"ITGA2B"	0	0	0	0	0	0	0	0
"ASB4"	0	0	0	0	0	0	0	0
"GDE1"	22.647325655165	46.2966134705919	31.7074544610518	39.55893392076	24.7844242474623	21.8468763209312	15.6177153799873	11.4237658185416
"REX1BD"	85.4931596775796	160.550477919296	143.314417234928	101.121369279019	132.290512079666	70.7122609844008	135.656309712288	126.929680290486
"CRLF1"	0	0	0	2.17982266347006	0	0	0	0
"OSBPL7"	0	9.20648366025804	6.24177625257704	4.05094844413743	0	0	3.64644044985566	0.963111653405378
"TMEM98"	0	0	0	0	13.0650256389795	0	2.67417293554342	0
"YBX2"	0	0	0	0	0	0	0	0
"MAP3K14"	13.4112832241144	0.835107602699823	3.34560421797785	0	5.89818294018126	8.9035301726386	15.098044982914	10.2344622851509
"ABCC8"	0	0	0	0	0	0	0	0
"TMEM132A"	0	0	0	0	0	0	0	0
"AP2B1"	7.10094053377076	33.2630039782304	21.1605751978373	35.1673446919038	35.7741738879763	34.5871095140729	30.7684296180533	59.5178631200974
"TAC1"	0	0	0	0	0	0	0	0
"ZNF263"	15.1457102752477	5.98760038789217	12.4618996912205	22.3149540322327	22.6909057805992	13.7741712287492	7.02630831335093	2.55062676300014
"CX3CL1"	0	0.560975287436607	0	0	0	0	1.7854930495434	1.72442006240661
"SPATA20"	5.63892079191118	3.78038520541311	5.36188098527764	11.9713892964183	5.57293693650448	10.0073737757121	17.7293290147815	7.73578271856502
"CACNA1G"	0	1.66793243006031	2.36954721480672	0	0	0	2.74499254454965	0
"TNFRSF12A"	3.94715512241558	32.5608941110785	5.56106638386011	9.79986258680909	9.28986218120607	5.53441329160163	20.323555108224	10.9567486624772
"DLX6"	0	0	0	0	0	0	0	0
"MAP3K9"	23.375467611078	0	0	4.21246957852541	0	0	0	10.2693356886542
"RALA"	38.616880751507	65.4012431105927	61.8176582369978	5.83633341238227	34.8700834773548	20.6705392861845	170.394985772313	21.1882532786023
"BAIAP2L1"	0	0	0	0	0	0	0	6.36448667436776
"KDM7A"	19.6497704423346	8.38653382458506	24.4053430686825	19.5534534095368	9.15758931127229	17.4676490364483	23.108389089475	10.3639388196958
"ETV1"	0	0	0	3.10244922340569	8.8286213765159	0	0	3.65025664357715
